date,fgi,rating
2021-09-03,44.6,fear
2021-09-07,42.9,fear
2021-09-08,38.86666666666667,fear
2021-09-09,34.46666666666667,fear
2021-09-10,23.06868686868687,extreme fear
2021-09-13,28.46666666666667,fear
2021-09-14,24.200000000000003,extreme fear
2021-09-15,27.900000000000002,fear
2021-09-16,31.333333333333332,fear
2021-09-17,22.933333333333334,extreme fear
2021-09-20,12.291749174917491,extreme fear
2021-09-21,13.829411764705883,extreme fear
2021-09-22,20.400000000000002,extreme fear
2021-09-23,23.53333333333333,extreme fear
2021-09-24,24.766666666666666,extreme fear
2021-09-27,25.3,fear
2021-09-28,15.33139158576052,extreme fear
2021-09-29,15.532692307692306,extreme fear
2021-09-30,12.950793650793651,extreme fear
2021-10-01,18.46666666666667,extreme fear
2021-10-04,12.764150943396226,extreme fear
2021-10-05,18.700000000000003,extreme fear
2021-10-06,19.5,extreme fear
2021-10-07,23.766666666666666,extreme fear
2021-10-08,25.533333333333335,fear
2021-10-11,24.133333333333336,extreme fear
2021-10-12,24.599999999999998,extreme fear
2021-10-13,24.53333333333333,extreme fear
2021-10-14,29.76666666666667,fear
2021-10-15,41.06666666666666,fear
2021-10-18,46.800000000000004,neutral
2021-10-19,53.6,neutral
2021-10-20,57.29999999999999,greed
2021-10-21,60.33333333333334,greed
2021-10-22,59.46666666666667,greed
2021-10-25,62.800000000000004,greed
2021-10-26,63.199999999999996,greed
2021-10-27,58.29999999999999,greed
2021-10-28,64.56666666666666,greed
2021-10-29,65.56666666666666,greed
2021-11-01,66.39999999999999,greed
2021-11-02,68.5,greed
2021-11-03,72.60000000000001,greed
2021-11-04,72.73333333333333,greed
2021-11-05,73.73333333333333,greed
2021-11-08,74.5,greed
2021-11-09,77.45714285714287,extreme greed
2021-11-10,73.62857142857142,greed
2021-11-11,72.85714285714286,greed
2021-11-12,74.3142857142857,greed
2021-11-15,72.5142857142857,greed
2021-11-16,72.97142857142858,greed
2021-11-17,71.14285714285714,greed
2021-11-18,68.37142857142857,greed
2021-11-19,63.91428571428571,greed
2021-11-22,59.714285714285715,greed
2021-11-23,59.0,greed
2021-11-24,59.114285714285714,greed
2021-11-26,33.02136181575434,fear
2021-11-29,38.65714285714286,fear
2021-11-30,27.05608465608466,fear
2021-12-01,26.058715596330273,fear
2021-12-02,25.32207792207792,fear
2021-12-03,20.993822393822395,extreme fear
2021-12-06,24.3734693877551,extreme fear
2021-12-07,36.82857142857142,fear
2021-12-08,41.542857142857144,fear
2021-12-09,37.51428571428571,fear
2021-12-10,42.91428571428571,fear
2021-12-13,35.97142857142857,fear
2021-12-14,32.02857142857143,fear
2021-12-15,37.199999999999996,fear
2021-12-16,34.0,fear
2021-12-17,32.34285714285714,fear
2021-12-20,29.685714285714283,fear
2021-12-21,34.62857142857143,fear
2021-12-22,39.74285714285714,fear
2021-12-23,43.857142857142854,fear
2021-12-27,59.39999999999999,greed
2021-12-28,59.02857142857143,greed
2021-12-29,63.857142857142854,greed
2021-12-30,64.85714285714286,greed
2021-12-31,61.942857142857136,greed
2022-01-03,65.88571428571429,greed
2022-01-04,66.4,greed
2022-01-05,52.285714285714285,neutral
2022-01-06,50.48571428571429,neutral
2022-01-07,51.199999999999996,neutral
2022-01-10,47.771428571428565,neutral
2022-01-11,55.285714285714285,greed
